"countryName","2015.GDP(currentUS$)","2015.Foreigndirectinvestmentnetinflows(BoPcurrentUS$)","2015.Netfinancialaccount(BoPcurrentUS$)","2015.GDPgrowth(annual%)","2015.GDPpercapitagrowth(annual%)","2015.Grosscapitalformation(annual%growth)","2015.Industry(includingconstruction)valueadded(annual%growth)","2015.Manufacturingvalueadded(annual%growth)","2015.Servicesvalueadded(annual%growth)","2015.Exportsofgoodsandservices(annual%growth)","2015.Agedependencyratioold(%ofworking-agepopulation)","2015.Agedependencyratioyoung(%ofworking-agepopulation)","2015.Populationgrowth(annual%)","2015.Populationfemale(%oftotal)","2015.Populationmale(%oftotal)","2015.Populationages15-19female(%offemalepopulation)","2015.Populationages15-19male(%ofmalepopulation)","2015.Populationages20-24female(%offemalepopulation)","2015.Populationages20-24male(%ofmalepopulation)","2015.Populationages25-29male(%ofmalepopulation)","2015.Populationages25-29female(%offemalepopulation)","2015.Populationages65andabove(%oftotal)","2015.Populationages65andabovefemale","2015.Populationages65andabovefemale(%oftotal)","2015.Populationages15-64male(%oftotal)","2015.Populationages15-64female(%oftotal)","2015.Laborforceparticipationrateforages15-24female(%)(modeledILOestimate)","2015.Laborforceparticipationrateforages15-24male(%)(modeledILOestimate)","2015.Laborforceparticipationrateforages15-24total(%)(modeledILOestimate)","2015.Laborforcefemale(%oftotallaborforce)","2015.Laborforcetotal","2015.Ratiooffemaletomalelaborforceparticipationrate(%)(modeledILOestimate)"
"Leastdevelopedcountries",9.28e+11,3.94e+10,,3.775027461,1.340875239,-3.207079693,4.19745645,7.875265378,,2.607453929,6.294747717,71.29021223,2.401945134,50.18071583,49.81928417,10.542271,10.8138746,9.175530256,9.26199326,7.856663186,7.943939819,3.544640109,18321642,3.816699984,55.95455888,56.66501896,48.52575215,61.07428659,54.83374785,42.3789104,391252404,75.36350744
"Afghanistan",1.92e+10,169146608,-3.22e+08,1.310040404,-1.628298135,4.791800883,4.170862439,0.407874428,1.862627424,2.42221419,4.7062685,84.06245884,2.943234185,48.45455784,51.54544216,11.69520597,11.69152296,9.182094749,9.295559852,7.573262793,7.307301478,2.493139921,450185,2.753952454,53.44299834,52.47686881,22.04000092,77.2440033,50.56800079,16.75191656,10087598,21.58450077
"Angola",1.03e+11,9.28e+09,-9.96e+09,2.999747493,-0.471271613,-49.43082824,,,,6.721329235,4.556727166,93.01947153,3.42802067,50.99101008,49.00898992,10.40351999,10.45201168,8.721706859,8.679697746,7.25866208,7.333056919,2.306313815,360450,2.537354619,50.14641233,51.06221147,57.15299988,57.70100021,57.42200089,50.07869512,11464498,93.92026098
"Bangladesh",1.95e+11,2.83e+09,2.27e+09,6.552633316,5.365749925,7.118800733,9.666904855,10.31057687,5.801061766,-2.829990167,7.687163183,44.8913479,1.120144259,49.53937661,50.46062339,9.856428132,10.13652648,9.402027338,9.460334084,8.802591958,9.159054553,5.038168959,4060591,5.084769619,65.23118352,65.85461692,23.17000008,56.64300156,40.20600128,28.54129307,64315695,40.27318577
"Benin",8.29e+09,1.5e+08,-6.16e+08,2.095808383,-0.696393361,-3.773295498,10.102186,8.155136268,4.152146949,-10.05391954,6.006713346,80.09107149,2.772977926,50.16876952,49.83123048,10.55406977,10.8890062,9.023244243,9.223810713,7.618177306,7.555764131,3.227718885,199962,3.76872233,53.50930489,53.959569,46.15800095,39.66699982,42.88000107,49.13772423,4264471,93.40423644
"Bhutan",2.06e+09,10800000,-3.67e+08,6.597448486,5.116646323,16.47990733,8.215807747,4.41415857,8.336670721,-3.533601078,6.891533996,40.37811228,1.398892513,46.85675532,53.14324468,10.16360206,9.236861412,10.62058199,9.900034174,10.39639808,10.5625786,4.679534561,16553,4.486588751,68.9577792,66.70660046,35.02700043,32.14199829,33.5530014,39.85945279,380655,77.92917287
"Bolivia",3.3e+10,5.55e+08,-2.83e+09,4.857187895,3.267949173,0.815869943,2.621183614,4.576603016,5.801273966,-5.918701203,10.58362882,53.11116426,1.527225047,49.92206311,50.07793689,9.954290191,10.21855583,9.110900967,9.280374476,8.324858352,8.257743333,6.465464551,368804,6.888391524,60.97177096,61.20723355,35.0379982,54.61899948,44.95399857,40.91217699,4857588,68.35537832
"BurkinaFaso",1.04e+10,2.32e+08,-6.28e+08,3.894548057,0.884824982,9.198935694,-0.725401024,-17.83734566,4.392474036,1.382199926,4.628908021,87.61155348,2.939690431,50.20173803,49.79826197,10.63267254,11.10665621,8.905311178,9.226222816,7.634720115,7.464778322,2.407873964,265218,2.917098006,51.53436632,52.4980961,45.04600143,59.27299881,52.27299881,44.7023174,6571496,77.31455515
"Burundi",3.07e+09,49600000,-3.3e+08,-3.921142751,-6.817656621,-41.69999999,-13.62662622,-6.620046857,0.978335082,-9.9,4.744509197,84.84755428,3.061102894,50.82713297,49.17286703,10.23230154,10.23186778,9.776745541,9.411573291,8.00122107,8.673233674,2.502483021,137644,2.655172314,52.16227555,53.30844262,57.8219986,47.29600143,52.69499969,52.37601073,4424012,103.6277365
"CaboVerde",1.6e+09,96100000,-82500000,1.006863728,-0.220579494,-15.60339224,-2.450631403,2.732577775,0.569864214,14.75337248,6.947060298,48.42387913,1.222651753,50.20472577,49.79527423,10.73090508,10.88961159,10.61466295,10.66199885,10.06168908,9.375245286,4.471273923,14649,5.475340597,64.97250936,63.7567512,26.83499908,44.36700058,35.60699844,40.90247717,219928,67.85379955
