"CN","GDP","FDINI","NFA","GDPg","GDPpcg","GCaFg","Ind1","ind2","Ser","ExGSgp","ADRold","ADRyoun","PPg","PPf","PPm","PP1519f","PP1519m","PP2024f","PP2024m","PP2529m","PP2529f","PP65above","PP65afnum","PP65af","PP1564m","PP1564f","Lab1524f","Lab1524m","Lab1524tot","Labf","Labtot","RFtoMlabpartcp"
"Leastdevelopedcountries",7.58e+11,2.27e+10,,4.19888266,1.740902736,9.109719041,5.61957664,8.14551353,,5.188335807,6.261214724,74.48376272,2.415921088,50.21060977,49.78939023,10.54422314,10.75036095,9.127082064,9.140280579,7.899607403,8.029685654,3.46411547,16143836,3.698688856,54.91783189,55.73210439,48.73697901,62.90951164,55.83271585,41.91709808,350536721,74.18104959
"Afghanistan",1.79e+10,52173421,1.2e+09,6.113685169,2.87964757,9.204691883,9.807610786,3.057318781,10.25934923,-26.6781611,4.645107387,94.08565158,3.095118615,48.61892362,51.38107638,10.7160875,10.77202809,8.499499758,8.64783879,7.320879682,7.27380076,2.337387233,365817,2.532656633,50.60300958,50.01920174,17.83799934,76.4940033,48.13100052,14.25147609,8126681,17.63278415
"Angola",1.04e+11,-3.02e+09,1.31e+10,3.873330694,0.230111586,12.88991481,,,,-5.403838481,4.590616658,94.10926598,3.570352438,51.06027932,48.93972068,10.42754084,10.4755528,8.805489537,8.807263547,7.244774753,7.281003585,2.310326809,315043,2.547640439,49.9528918,50.68586867,57.66500092,58.51499939,58.08200073,49.96655295,9926136,93.52988894
"Bangladesh",1.29e+11,1.26e+09,-2.17e+09,6.46438388,5.245005217,9.560947129,9.019130178,10.01338542,6.216625876,29.33912475,7.523341732,49.54987058,1.151949049,49.47213641,50.52786359,10.15623313,10.32599408,9.756003387,9.618108927,8.904148042,9.308263359,4.789703872,3635644,4.774725664,63.33918815,63.99716294,22.28000069,63.3429985,43.04499817,26.62015296,59932582,36.71253607
"Benin",7.81e+09,1.61e+08,-2.32e+08,2.962750351,0.1163546,3.669486012,-1.786795881,-1.996105161,7.243789975,-9.667927701,6.105022999,82.50866034,2.803422015,50.30450907,49.69549093,10.55124695,10.89690471,8.909545912,9.092941285,7.512668049,7.466890513,3.236786902,179820,3.778358173,52.67992203,53.35293042,47.06900024,40.92599869,43.97499847,49.0866147,3771519,92.30518612
"Bhutan",1.82e+09,31100000,-4.03e+08,7.890913893,6.015924803,11.83865713,4.058632424,7.298484567,13.25636623,3.201313359,6.4867261,45.48383654,1.753134331,46.95234018,53.04765982,11.20937844,10.22101276,11.41674648,10.63442524,11.13769894,9.626938862,4.26840961,14339,4.124064183,66.95449408,64.50123817,40.63000107,37.7179985,39.14400101,42.12452759,352709,85.49813246
"Bolivia",2.4e+10,8.59e+08,6.38e+08,5.204092718,3.53285763,25.85165146,4.866364695,3.675015121,4.442496126,4.593151985,10.13541045,57.41477434,1.601317636,49.89186718,50.10813282,10.07059081,10.30541947,9.152224172,9.292938654,8.343506458,8.29984438,6.049178918,324201,6.447559054,59.55694484,59.8107701,45.04499817,60.26300049,52.74399948,43.17138757,4757848,75.08921248
"BurkinaFaso",1.07e+10,1.44e+08,23800000,6.626865192,3.466316511,19.35081984,21.6355931,16.20483894,4.751162238,26.007635,4.792377218,89.92414098,3.008938328,50.37002773,49.62997227,10.55327852,11.06466449,8.896088481,9.24944158,7.732560674,7.544449024,2.46120733,241792,2.984917274,50.74135708,51.96296901,49.88899994,66.13600159,58.12900162,43.89514173,6017265,73.89452634
"Burundi",2.36e+09,3354999.181,-1.83e+08,4.191625681,1.005128644,-29.89250389,5.889823974,-1.00000006,3.600000004,1.748829706,4.920043724,83.23150599,3.106046414,50.89275753,49.10724247,11.3470875,11.10503642,10.38827938,9.713078911,7.825063296,8.11939637,2.614936593,128444,2.790753256,52.73885772,53.54433529,60.8730011,51.29299927,56.27099991,52.14069336,3983756,102.9531915
"CaboVerde",1.86e+09,1.02e+08,-3.23e+08,3.968886345,2.805938975,2.191868716,1.269386552,4.906928487,3.177724737,10.91996672,8.495763663,54.43708992,1.124856113,50.25036019,49.74963981,11.46232364,11.55830386,10.4874151,11.14526709,9.692517071,8.541906575,5.214272921,15918,6.234871096,61.96896685,60.78823059,28.95999908,50.33300018,39.77299881,39.64035765,200755,64.17236987
