"CN","GDP","FDINI","NFA","GDPg","GDPpcg","GCaFg","Ind1","ind2","Ser","ExGSgp","ADRold","ADRyoun","PPg","PPf","PPm","PP1519f","PP1519m","PP2024f","PP2024m","PP2529m","PP2529f","PP65above","PP65afnum","PP65af","PP1564m","PP1564f","Lab1524f","Lab1524m","Lab1524tot","Labf","Labtot","RFtoMlabpartcp"
"Leastdevelopedcountries",2.04e+11,3.8e+09,,4.319084616,1.718085292,,12.53330093,1.394270765,,,6.105014061,80.17339183,2.557066737,50.14492715,49.85507285,10.83739384,11.01249068,9.066482934,9.100022161,7.535610894,7.546477936,3.277360052,11679893,3.503675635,53.33796445,54.02622073,49.98619707,66.71197598,58.36840026,40.88727742,261287905,71.58082538
"Afghanistan",,170000,,,,,,,,,4.57158978,98.75477029,3.494658738,48.50645974,51.49354026,10.37267199,10.69460574,8.386927984,8.705264293,6.988610796,6.815392784,2.248399951,235151,2.412603143,49.40805985,48.94205519,17.11400032,76.78900146,48.3429985,13.60799649,5336840,16.7691446
"Angola",9.13e+09,878620000,763510000,3.054624234,-0.024041122,,,,,,4.846725704,94.63169908,3.032943415,51.13689799,48.86310201,10.64810107,10.80991154,8.958977336,9.08186972,7.228652759,7.194396064,2.429699207,229439,2.729020002,49.9532087,50.30034932,57.77199936,58.70199966,58.22999954,49.64282091,6711619,92.4923952
"Bangladesh",5.34e+10,2.8e+08,2.14e+08,5.293294718,3.251504334,7.117690366,6.255771363,4.699566957,5.284413655,14.39815672,6.480704702,62.69894171,1.958193767,48.97092327,51.02907673,11.14450382,11.14228293,9.911231749,9.767495261,8.289670416,8.344510737,3.830664527,2462689,3.821882027,59.115131,59.10213507,21.98200035,75.0059967,48.9469986,22.70808745,47598773,30.62905707
"Benin",2.57e+09,-12800000,-1043574.1,5.859992101,2.747800216,-5.963389319,6.928446771,7.80809031,9.142555159,-12.38396624,6.312126016,87.47153976,2.983994776,50.7299067,49.2700933,10.31116641,10.708401,8.669548401,8.863836437,7.310150175,7.265851451,3.257305507,132592,3.80673701,50.95847949,52.23080783,57.57699966,62.83200073,60.20700073,45.87141427,2720193,78.80017029
"Bhutan",4.39e+08,,,6.93302424,3.972960527,,7.256609992,2.699507233,12.07831697,,6.384755806,75.02950193,2.807182639,48.95266729,51.04733271,11.54118825,11.27737351,9.532274785,9.291790509,7.54637696,7.756351109,3.519434407,9370,3.338095255,55.28031157,54.95958304,40.68899918,45.97900009,43.35699844,41.52529609,219105,74.90804649
"Bolivia",8.4e+09,736350000,-500274228,2.507807553,0.580449667,-7.377366276,2.43327319,1.790097617,2.105563456,15.04059293,8.944012666,67.6725363,1.898106546,49.85965619,50.14034381,10.65245394,10.80616741,9.334362019,9.410197003,7.784331038,7.795253359,5.064085285,226055,5.436554967,56.55155706,56.68851021,44.0909996,60.52999878,52.38000107,42.26301487,3619879,72.56953631
"BurkinaFaso",2.63e+09,23200000,,1.820241893,-1.032642563,9.128800427,-11.00663324,-19.05574721,8.507692573,-1.12637326,5.478765718,92.67728808,2.841885125,50.88140879,49.11859121,10.83184382,11.5422661,8.962819124,9.39973292,7.277193913,7.150682942,2.764874256,194522,3.293472433,49.42243156,51.47199875,64.77999878,79.31600189,72.125,45.82901335,4801334,77.00850377
"Burundi",8.7e+08,11700000,-85900000,-0.856864059,-2.742947109,114.3374648,-6.230151807,-6.230151801,5.477179799,-7.60341556,6.366301344,103.4931182,1.920712036,50.93194407,49.06805593,11.46605955,11.71690278,8.179744565,8.206286365,5.415827417,5.705023675,3.033602856,109886,3.37073206,47.22880426,48.05770177,71.30699921,66.05500031,68.71199799,52.08771347,2714429,101.6501372
"CaboVerde",5.39e+08,34200000,-61400000,14.28486883,11.97489493,,8.055817969,6.567738234,17.00989056,,9.777326949,82.9427216,2.041948713,51.76092837,48.23907163,11.26849998,12.22079283,8.347135695,8.836001525,7.254145226,6.608260103,5.07333151,12557,5.575858226,50.41404612,53.26216791,41.97200012,72.33100128,57.15499878,37.96234539,151429,53.25803997
"Cambodia",3.68e+09,1.18e+08,-88100000,10.7119948,8.26388427,12.68342297,31.18857752,30.28660129,8.876615151,30.29549894,5.566750454,75.16972925,2.236056816,51.39976949,48.60023051,13.00208252,13.75986823,6.398972573,6.329433055,7.627689731,7.500171302,3.080037004,212041,3.394674338,53.79036903,56.78419361,70.84700012,60.14699936,65.5530014,51.62238827,5579244,94.79160345
"Cameroon",1.01e+10,1.59e+08,-1.24e+08,3.553374364,0.961237317,13.5127133,2.991741227,15.42092619,2.390516499,5.197897942,6.522146812,87.02039274,2.535051988,50.15390622,49.84609378,11.09256606,11.26557573,8.998664078,9.082366972,7.318656984,7.298528867,3.369877665,280993,3.668016165,51.46410179,51.8710873,55.5320015,64.91100311,60.23699951,46.72333309,6430498,85.58408469
"CentralAfricanRepublic",9.15e+08,889074.9126,,-2.48943244,-4.527371948,,-2.807958078,-4.946040253,-7.460999537,,7.143502235,78.16994516,2.112116821,50.79173419,49.20826581,10.64343847,10.79034487,9.05405873,9.136669584,7.67165486,7.618253145,3.854821296,80389,4.214978644,53.83926402,54.08222011,49.26399994,52.63999939,50.93500137,46.03551967,1550859,81.26558056
"Chad",1.39e+09,1.15e+08,,-0.879681025,-4.452537805,68.49260571,,,,-8.606796148,5.929065861,101.1406938,3.671134501,50.18945038,49.81054962,10.3334494,10.55345819,8.437952732,8.585931995,6.840955733,6.779016986,2.863318078,131769,3.147036528,48.08945891,48.49470347,58.42900085,59.05699921,58.74499893,45.08069621,3092958,79.92860369
"Comoros",2.04e+08,93636.11508,,10.84807495,8.087076855,,-0.03190654,13.02146944,15.18508748,,5.729308029,82.99406365,2.522340022,49.69134778,50.30865222,11.10109274,11.25038024,8.968664774,9.029770609,7.390059849,7.373889167,3.035823268,9215,3.419231554,52.90504411,53.07248474,16.67399979,19.05200005,17.87700081,38.47097142,128029,62.25776218
"CongoDemRep",1.91e+10,94190400,,-6.910927317,-9.239756474,4.900362152,10.61193358,-10.90000072,-16.85761675,-3.626106619,5.734262412,88.41717768,2.533546248,50.4113442,49.5886558,10.25104626,10.49102726,8.564278684,8.703659257,7.226427891,7.170745835,2.953499809,794490,3.347780731,51.29809533,51.71089339,50.43899918,40.51800156,45.47000122,50.26088748,18517562,97.21971638
"CongoRep",3.22e+09,-97900000,5.88e+08,7.575980392,4.595113178,19.01602391,2.95133438,13.23809524,15.75885033,-1.210697659,6.503077119,75.72470768,2.810056085,50.07085207,49.92914793,10.57280642,10.73599481,9.536619751,9.624595333,8.207964574,8.165108816,3.568652896,62128,3.846570573,54.83080029,54.92166996,43.72800064,42.61199951,43.16699982,48.93989733,1281008,94.52442397
"CotedIvoire",1.07e+10,2.35e+08,,-2.068400057,-4.3357168,,,,,,5.107038698,81.27298886,2.342426273,48.40199847,51.59800153,10.78574985,10.20294934,9.255482702,8.877619475,7.369616856,7.48426107,2.740121227,210148,2.601927116,54.69880598,52.53984057,39.56000137,59.7480011,49.72900009,34.9677822,6165381,59.84275573
"Djibouti",5.51e+08,3286049.482,-41100000,,,,,,0.850875912,,5.369359598,73.14922158,2.466826034,49.72539532,50.27460468,10.59251495,10.64339351,9.860208846,9.837869603,7.917751186,8.004360767,3.007731499,11672,3.271135425,55.99583101,56.03781199,52.88999939,61.05699921,56.99900055,37.36607075,262452,59.74112995
"EgyptArabRep",9.98e+10,1.235e+09,-3.84e+08,5.367997672,3.439696362,-2.302064209,5.286878134,7.848678578,7.106017395,3.795066255,8.380915899,62.44271728,1.847016355,49.69778696,50.30221304,10.92501533,11.33424773,9.142343442,9.401603452,7.390547168,7.592613344,4.906180569,1957710,5.635039386,58.51472704,58.56539601,19.11400032,43.63000107,31.64699936,21.70639101,20449217,27.40618282
"ElSalvador",1.18e+10,173400000,-3.33e+08,1.12605705,0.394638801,0.214181393,-0.091344551,1.894674582,3.136224736,15.35423566,9.493856496,63.27291411,0.725902079,51.81276737,48.18723263,9.601859362,10.09588502,8.888744161,8.863926458,7.481231315,7.931137017,5.495186639,177147,5.826855103,56.17569053,59.46801869,32.79700089,64.21299744,48.13199997,39.44877685,2286261,56.89704822
"Eritrea",7.06e+08,27900000,-1.28e+08,-3.141985774,-5.726673438,-17.14850001,-6.365614423,-14.98248327,26.82452742,1.301692732,6.445892721,85.82981497,2.70478429,50.003419,49.996581,12.5261786,12.60240749,9.086959828,9.016575615,6.160926777,6.3103331,3.35242179,61265,3.611218029,51.84942171,52.16788023,71.95700073,80.08000183,76.01899719,46.07400408,1521754,84.14668858
