"CN","GDP","FDINI","NFA","GDPg","GDPpcg","GCaFg","Ind1","ind2","Ser","ExGSgp","ADRold","ADRyoun","PPg","PPf","PPm","PP1519f","PP1519m","PP2024f","PP2024m","PP2529m","PP2529f","PP65above","PP65afnum","PP65af","PP1564m","PP1564f","Lab1524f","Lab1524m","Lab1524tot","Labf","Labtot","RFtoMlabpartcp"
"SouthSudan",1.51e+10,1035825.73,-6.57e+08,2.920584117,-0.234438213,,,,,,6.398859623,78.28727247,3.113461135,49.94043868,50.05956132,10.90532296,11.05867536,9.29530153,9.359247655,7.706369411,7.713481305,3.464721228,214245,3.720423247,53.91702347,54.3752938,63.79299927,59.52099991,61.64300156,49.01080506,4822002,94.74256203
"SriLanka",7.94e+10,8.94e+08,-1.54e+09,4.960706541,4.020805168,11.53133289,4.701585646,2.416957908,4.831484341,4.262574596,13.42060128,37.39331174,0.899512787,51.74959457,48.25040543,7.382471667,7.960608826,7.396723091,7.53273051,6.995425567,7.336325539,8.898781995,1047404,9.74428205,66.12927798,66.47260307,23.75300026,44.86299896,34.18799973,33.70667724,8449225,46.10294092
"Sudan",8.22e+10,1.25e+09,-1.9e+09,2.679411813,0.263305647,-2.166725997,9.560371282,16.7177119511111,3.430658575,2.956859852,6.243763214,76.4296449,2.38118456,50.06859548,49.93140452,10.74051377,11.03765586,8.972549703,9.158497969,7.334554012,7.402126326,3.417992405,690755,3.655786254,54.28085809,55.20302076,15.89099979,40.56999969,28.36300087,25.39869591,10280705,33.14604418
"Swaziland",4.38e+09,25800000,6.71e+08,1.931010027,0.070337809,1.824228706,0.917006851,4.314164532,5.171015772,9.429347257,5.261875761,64.35778555,1.842289534,51.53154197,48.46845803,11.25452325,11.98935823,11.10648276,11.82256279,10.33064368,9.819069952,3.10216146,24084,3.608711613,58.11554607,59.74482495,31.72800064,45.1570015,38.44800186,41.07810193,430015,62.80517436
"SyrianArabRepublic",16005882352.9412,1.97e+09,-2.68e+08,5.04775853864706,2.25088455447059,5.489934323,7.76832907429412,,5.48530945741176,9.04963941523529,6.685942034,64.91126546,-3.107229425,49.43842892,50.56157108,10.71482517,11.31069695,8.099334443,8.722623392,7.982864824,7.697689395,3.896300023,402070,4.235121669,58.11045273,58.44527943,8.395000458,47.95600128,29.01799965,14.63669676,5025485,17.25480887
"Tajikistan",9.24e+09,309306960,-3.83e+08,6.69925066,4.339674633,5.32880011914286,5.077225493,6.78016247955844,10.10058184,5.92572099077922,5.363252408,57.06572038,2.236245616,49.70265741,50.29734259,10.27054935,10.57400936,10.0787777,10.16380909,9.393667215,9.493285947,3.301906252,143155,3.44411869,60.98442361,62.15318828,36.14500046,55.58300018,46.01300049,38.9798055,3210329,63.2141511
"Tanzania",4.82e+10,1.67e+09,-3.75e+09,6.965134936,3.697750553,5.248025205,10.34298121,6.813689438,7.123949875,17.72947138,6.026077312,87.7312417,3.107572415,50.59717386,49.40282614,10.30114264,10.63411165,8.998387362,8.81585606,7.365723505,7.63888839,3.110115965,888289,3.360992084,51.11074177,52.09943529,70.25099945,74.72100067,72.46800232,48.88898162,23845195,90.87398191
"TimorLeste",4.05e+09,33900000,1.01e+09,-26.04971323,-27.78430547,7.206112172,-44.51688428,,10.09593931,-23.82478632,6.498885698,84.65258055,2.373566906,49.21595821,50.78404179,12.2223153,12.37810877,8.400402077,8.409398654,6.583506246,6.619031664,3.399861809,22041,3.692578321,52.40194312,52.22432568,9.369000435,16.30900002,12.90699959,31.71462561,267312,47.58247199
"Togo",4.48e+09,53900000,-1.35e+08,5.871726319,3.148129856,10.30673667,0.792843654,-6.990753845,3.183301696,-2.992251605,5.050586595,76.751694,2.606212323,50.18014485,49.81985515,10.12787132,10.25478768,8.924747931,9.034328031,8.123162188,8.033852749,2.778065588,108237,2.983811053,54.94886753,55.06039325,63.79499817,64.13400269,63.96500015,49.21295113,3254944,95.33464561
"Tunisia",4.76e+10,1.02e+09,-3.91e+09,2.971398345,1.776184747,4.464423335,-0.130039518,0.862442571,2.961538054,5.78377864616883,10.88471855,34.20391136,1.167512853,50.5687007,49.4312993,7.319055438,7.839533963,8.380466028,8.695108358,9.125763808,9.171333503,7.502116852,457732,8.122539741,68.73951182,69.10327007,22.46299934,46.66500092,34.74000168,26.86009885,4029974,35.14525247
"Uganda",2.73e+10,1.06e+09,-1.61e+09,5.106307324,1.64290966,2.44905392,6.341763372,2.160215719,5.420562517,-0.002204492,4.437450009,98.34943679,3.350650353,50.28488278,49.71511722,11.0521936,11.24947885,9.123191634,9.236000276,7.422852774,7.370506931,2.188233213,485495,2.486237217,48.94583514,49.67570529,51.5359993,57.3429985,54.44499969,47.7060309,14172510,87.89459918
"Ukraine",1.34e+11,8.47e+08,-3.663e+09,-6.552618891,-1.144531809,-34.51430933,-11.62355695,-8.626429518,-6.11863137,-14.24190906,22.75567408,21.31718106,-0.479615926,53.80615313,46.19384687,4.46655878,5.444258925,5.871930844,7.162121452,9.012441868,7.430615246,15.79456078,4730961,19.42174354,71.94636649,67.23045165,32.49100113,43.9469986,38.34999847,47.40052755,20936902,74.56860953
"Uzbekistan",6.31e+10,6.32e+08,,7.792522371,5.989420944,10.69638638,8.307241132,8.259999983,8.982920467,-5.14531474,6.227715775,41.57987567,1.686900359,50.19120071,49.80879929,9.253417531,9.753568065,10.29709185,10.82968979,9.890368276,9.711677352,4.213393755,744457,4.822346664,67.38374105,67.92520287,36.74000168,57.34500122,47.26800156,41.76239578,14405754,69.43975982
"Vanuatu",8.15e+08,13300000,11900000,2.331006215,0.074466198,9.539528898,3.183142793,0.730816078,2.367238956,-0.748079928,6.949463792,62.2125357,2.229814725,49.33551737,50.66448263,9.681764079,10.02104557,9.165726994,8.175745745,8.539468066,9.066278268,4.108170755,5342,4.183110944,58.14143232,60.11871202,50.69499969,60.81900024,55.73500061,43.77457405,115213,77.30465377
"Vietnam",1.86e+11,9.2e+09,2803700000,5.983654637,4.784398867,8.900080169,6.424230331,7.406125116,6.163847182,11.56011262,9.43068356,32.89364362,1.137998565,50.54915172,49.45084828,7.601150219,8.195895984,9.41681468,9.995895049,9.442148353,9.078497593,6.626192266,3861778,8.25507202,70.68176323,69.85147712,57.65299988,64.27300262,61.03699875,48.30816805,55902420,88.54027905
"WestBankandGaza",12715600000,1.6e+08,-1.07e+09,-0.181891133,-3.974253275,-13.04983319,-12.70007208,-5.446130664,3.101981059,9.577021149,5.182702731,71.56816586,2.957994955,49.28375628,50.71624372,11.51791512,11.65230466,10.26320403,10.35915888,8.091178119,8.046598444,2.932213756,65881,3.112629751,56.46746712,56.68948203,10.05599976,50.83000183,30.84199905,20.26078775,1131955,25.89464279
"YemenRep",4.32e+10,-2.33e+08,-1.04e+09,-0.188591449,-2.736534359,-3.555750658,-3.214741495,1,1.000000045,-4.097297033,5.033223022,72.775386,2.585905383,49.46798272,50.53201728,11.34156977,11.52712184,10.75374037,10.87946066,8.859381794,8.827992759,2.830697034,397342,3.060354392,56.05648551,56.42794806,5.000999928,46.18999863,25.95899963,8.201812742,5729331,9.000000367
"Zambia",2.72e+10,1507800000,-3.54e+08,4.695826373,1.560750511,,3.885678524,6.541056624,5.620758167,37.2821171336364,4.862475691,88.2737284,3.040210772,50.3916883,49.6083117,11.10247395,11.3228966,9.221233769,9.349995316,7.856285821,7.783152467,2.517640705,225019,2.858593267,51.44068534,52.10789478,55.06299973,57.61600113,56.3409996,47.63014137,6366519,87.32882394
"Zimbabwe",1.59e+10,472800000,-1.97e+09,2.127083908,-0.239734003,12.73016229,-1.981153184,-5.091112916,0.336592017,-2.585576985,5.126861407,74.59064778,2.34479907,51.34229767,48.65770233,10.60725623,11.12688218,10.02495227,10.25461514,9.083013456,9.253269362,2.852733399,254755,3.219568628,54.74440806,56.49489568,68.16100311,79.48999786,73.77500153,49.17396739,7495830,87.84415502
